Date,CHF=X,EURGBP=X,EURJPY=X,AUDUSD=X,EURUSD=X,CAD=X,JPY=X,NZDUSD=X,SGD=X,HKD=X,GBPUSD=X
8/13/2015,0,0,0,0,0,0,0,0,0,0,0
8/14/2015,0.02621841,0,0,0,0,0,0,0,0,0,0
8/17/2015,0,0,0,0.025050674,0,0.014965322,0,0,0,0,0
8/18/2015,0,0,0,0,0,0,0,0,0,0,0
8/19/2015,0,0,0,0,0,0,0,0,0,0,0
8/20/2015,0,0.031722428,0,0,0,0,0,0,0,0,0
8/21/2015,0,0,0,0,0,0,0,0,0,0,0
8/24/2015,0,0,0,0,0,0,0,0,0,-0.000423078,0
8/25/2015,0,0,0,0,0,0,0,0,0,0,0
8/26/2015,0,0,0,0,0,0,0,0,0,0,0
8/27/2015,0.026955603,0,0,0,0,0,0,0,0,0,0
8/28/2015,0,0,0,0,0,0,0,-0.009334057,0,0,0
8/31/2015,0,0,0,0,0,0,0,0,0,0,0
9/1/2015,0,0,0.00787238,0,-0.005226614,0,0.006361485,0,0,0,-0.003019076
9/2/2015,0,0,0,0,0,0,0,0,0,0,0
9/3/2015,0,0,0,0,0,0,0,-0.007909703,0,0,0
9/4/2015,0,0,0,0,0,0,0,0,0,0,0
9/7/2015,0,-0.000731694,0,0,0.01302396,0,0,0,0,0,0
9/8/2015,0,0,0.01779561,0.025242246,0,0,0,0,0,0,0
9/9/2015,0,0,0,0,0,0,0,0,0,0,0
9/10/2015,0,0,0,0,0,0,0,0,0,0,0
9/11/2015,0,0,0,0,0,0,0,0,0,0,0
9/14/2015,0,0,0,0.006572192,0,0,-0.001080657,0.00157181,0,0,0
9/15/2015,0,0,0,0,0,8.63E-05,0,0,0,0,0
9/16/2015,0,0,0,0,0,0,0,0,0,0,0
9/17/2015,0,0,0,0,0,0,0,0,0,0,0
9/18/2015,0,0,0,0,0,-0.002919443,0,0,0,0,0
9/21/2015,0,0,0,0,0,0,0,0,0,0,0
9/22/2015,0,0,0,0,0,0,0,0,0,0,0
9/23/2015,0,0,0,0,0,0,0,0,0,0,0
9/24/2015,0,0,0,0,0,0,0,0,0,0,0
9/25/2015,0,0,0,0,0,0,0,0,0,0,0
9/28/2015,0,0,0,0,0,0,0,0,0,0,0
9/29/2015,0,0.001004054,0,0,0,0,0,0,0,0,-0.00435755
9/30/2015,0,0,0,0,0,0,0,0,0,0,0
10/1/2015,0,0,0,0,0,0,0,0,0,0,0
10/2/2015,0,0,0,0,0,0,0,0,0,0,0.009129866
10/5/2015,0,0,0,0,0,0,0,0,0,0,0
10/6/2015,0,0,0,0,0,0,-0.004245573,0,0,0,0
10/7/2015,0,0,0,0,0,0,0,0,0,0,0
10/8/2015,0,0,0,0,0,0,0,0,0,0,0
10/9/2015,0,0,6.58E-05,0.004227749,0,0,0,0.02284403,0.017778843,0,0
10/12/2015,0,0,0,0,0,0,0,0,0,0,0
10/13/2015,0,0,0,0,0,0,0.000834372,0,0,0,0
10/14/2015,0,0,0,0,0,0,0,0,0,0,0
10/15/2015,0,0,0,0,0,0,0,0,0,0,0
10/16/2015,0,0,0,0,0,0,0,0,0,0,0
10/19/2015,0,0,0,0,0,0,0,0,0,0,0
10/20/2015,0,0,0,0,0,0,0.007468294,0,0,0,0
10/21/2015,0,0,0,0.020467368,0,0,0,0,0,0,0
10/22/2015,0,0,0,0,0.030160079,0,0,0,0,0,0
10/23/2015,0,0,0,0,0,0,0,0,0,0,0
10/26/2015,0,0,0,0,0,0,0,0,0,-0.000214217,0
10/27/2015,0,-0.004568302,0,0.00418745,0,-0.004219519,0,-0.007149535,0,0,0
10/28/2015,0,0,0,0,0,0,0,0,0,0,0
10/29/2015,0,0,0,0,0,0,0.009147522,0,0,0,0
10/30/2015,0,0,0,0,0,0,0,0,0,0,0
11/2/2015,0,0,0,0,0,0,0,0,0,0,0
11/3/2015,0,0,0.003299478,0,0.024018053,0,0,0,0,0,0
11/4/2015,0,0,0,0,0,0,0,0,0,0,0
11/5/2015,0,0,0,0,0,0,0,0,0,0,0.008668424
11/6/2015,0,0,0,0,0,0,0,0,0,0,0
11/9/2015,0,0,0,0,0,0,0,0,0,0,0
11/10/2015,0,0,0,0,0.007826987,0,0,0.00667026,0,0,0.006754173
11/11/2015,0,0,0,0,0,-0.003491691,0,0,0.000116808,0,0
11/12/2015,0,0,0,0,0,0,0,0,0,-0.000190954,0
11/13/2015,0,0,0,0,0,0,0,0,0,0,0
11/16/2015,0,0,0,0,0,0,0,0,0,0,0
11/17/2015,0,0,0,0,0,0,0,0,0,0,0
11/18/2015,0,0,0,0,0,0,0,0,-0.002692003,0,0
11/19/2015,0,0,0,0.01344152,0,0,0,0,0,0,0
11/20/2015,0,0,0,0,0,0,0,0,0,0,0
11/23/2015,0,0,0,0,0,0,0,0,0,0,0
11/24/2015,0,0,0,0,0,0,0,0,0,0,0
11/25/2015,0,0,0,0,0,0,0,0.015408392,0,0,0
11/26/2015,0,0,0,0,0,0,0,0,0,0,0
11/27/2015,-0.003507688,0,-0.003626454,0,0,0.00476074,0,0,-0.004131775,0,0
11/30/2015,0,0,0,0,0,0,0,0,0,0,0
12/1/2015,0,0,0,0,0,0,0,0,0,0,0
12/2/2015,0,0,0,0,0,0,0,0,0,0,0
12/3/2015,0,0,0,0,0,0,0,0,0,0,0
12/4/2015,0,0,0,0,0,0,0,0,0,0,0
12/7/2015,0,0,0,0,0,0,0,0,0,0,0
12/8/2015,0,0,0,0,0,0,0,0,0,-0.000194793,0
12/9/2015,0,0,-0.003097978,0,0,0,0,0,0,0,0
12/10/2015,0,0,0,0,0,0,0,0,0,0,0
12/11/2015,0,0,0,0,0,0.026050976,0,0,0,0,0
12/14/2015,0,0,0,0,0,0,0,0,0,0,0
12/15/2015,0,0,0,0,0,0,0,0,0.002379587,0,0
12/16/2015,0,0,0,0,0,0,0,0,0,0,0
12/17/2015,0,0,0.007288181,-0.005398093,0,0,0,0,0,0,0
12/18/2015,0,0,0,0,0,0,0,0,0,0,0
12/21/2015,0.004515716,0,0,0,0,0,0,0,0,0,-0.00054259
12/22/2015,0,0,0,0,0,0,0,0,0,0,0
12/23/2015,0,0,0,0,0,0.00300543,0,0,0,0,0
12/24/2015,0,0,0,0.002780805,0,0,0.004204106,0,0,0,0
12/25/2015,0,0,0,0,0,0,0,0,-0.002708705,0,0
12/28/2015,0,0,0,0,0,0,0,0,0,0,0
12/29/2015,0,0,0,0,0,0,0,0,0,0,0
12/30/2015,0,0,0,0,0,0,0,0,0,0,0
12/31/2015,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,0,0,0,0,0,-0.004913583,0,0,0,0,0
1/4/2016,0,0,0,0,0,0,0,0.041505067,0,0,0
1/5/2016,0,0,0,0,0,0,0,0,0,0,0
1/6/2016,0,0,0,0,0,0,0,0,0,0,0
1/7/2016,0,0,0,0,0,0,0,0,0,0,0
1/8/2016,0,0,0,0,0,0,0,0,0,0,0
1/11/2016,0,0,0,0,0,0,0,0,0,0,0
1/12/2016,0,0,0,0,0,0,0,0,0,0,0
1/13/2016,0,0,0,-0.011516324,0,0,0,-0.007179249,-0.002034023,0,0
1/14/2016,0,0.012709306,0,0,0,0,0,0,0,0.006279524,0.011155204
1/15/2016,0,0,0,0,0,0,0,0,0,0,0
1/18/2016,0,0,0,0,0,0,0,0,0,0,0
1/19/2016,0,0,0,0,0.000815061,0,0.007854011,0,0.007722838,0,0
1/20/2016,0,0,0,0,0,0,0,0,0,0,0
1/21/2016,0,0,0,0,0,0,0,0,0,0,0
1/22/2016,0,0,0,0,0,0,0,0,0,0,0
1/25/2016,0,0,0,0,0,0,0,0,0,0,0
1/26/2016,0,-0.004102836,0,0,0,0,0,0,0,-0.000806375,0
1/27/2016,0,0,0,0,0,0,0,0,0,0,0
1/28/2016,0,0,0,0,0,0,0,0,0,0,0
1/29/2016,0,0,0,0,0,0,0,0,0,0,0
2/1/2016,0,0,0,0,0,0,0,0,0,0,0
2/2/2016,0,-0.006471654,0.009194746,0,0,0,0,0,0,0,0
2/3/2016,0.042726857,0,0,0,0,0,0,0,0,0,0
2/4/2016,0,0,0,0,0,0,0,0,0,0,0
2/5/2016,0,0,0,0,0,0,0,0,0,0,0
2/8/2016,0,0,0,0,0,0,0,0,0,0,0
2/9/2016,0,0,0,0,0,0,0,0,0,-0.000568095,0
2/10/2016,0,0,0,0,0,0,0,0,0,0,-0.007676241
2/11/2016,0,0,0,0,0,-0.009501081,0,0,0,0.001084169,0
2/12/2016,0,0,0,0,0,0,0,0,0,0,0
2/15/2016,0,0,-0.009497738,0.014628448,0,0.012839127,0,0,0,0.002060811,0
2/16/2016,0,0,0,0,0,0,0,0,0,0,0
2/17/2016,0,0,0,0,0,0,0,0,0,0,0
2/18/2016,0,0,0,0,0,0,0,0,0,0,0
2/19/2016,0,0,0,0,0,0,-0.000552129,0,0,0,0
2/22/2016,0,0.002661549,0,0,0,0,0,0,0,0,0
2/23/2016,0,0,0,0,0,0,0,0,0,0,0
2/24/2016,0,0,0,0,0,0,0,-0.000466664,0,0,0
2/25/2016,0,0,0,0,0,0,0,0,0,0,0
2/26/2016,0,0,0,0,0,0,0,0,0,0,0
2/29/2016,0,0,0,0,0,0,0,0,0,0,0
3/1/2016,0,0,0,0,0,0,0,0,0,0,0
3/2/2016,-0.001705278,0,0,0,0,0,0,0,0,0,0
3/3/2016,0,0,0,0,0,0,0,0,0.013456691,0,0
3/4/2016,0,0.001864711,0.022211095,0,0,0,0,0,0,0,0
3/7/2016,0,0,0,0,0,0,0,0,0,0,0
3/8/2016,0,0,0,0,0,0,0.002454666,0.020633336,0,0,-0.004686566
3/9/2016,0,0,-0.005995751,0,0,0,0,0,0,0.000556158,0
3/10/2016,0,0,0,0,0,0,0,0,0,0,0
3/11/2016,0,0,0,0,0,0,0,0,0,0,0
3/14/2016,0,0,0,0,0,0,0,0,0,0,0
3/15/2016,-0.005866818,0,0,0,0,0,0,0,-0.004126691,0,0
3/16/2016,0,0,0,0,0,0,0,0,0,0,0
3/17/2016,0,0,0,0,0,0,0,0,0,0,0
3/18/2016,0,0,0,0,0,0,0,0,0,0,0
3/21/2016,0,0,0,0,0,0,0.01556695,0,0,0,0
3/22/2016,0,0,0,0,0,0,0,0,0,0,0
3/23/2016,-0.004167662,0,0,0,0,0,0,0,0,-0.000292795,0
3/24/2016,0,0,-0.005626081,0,0,0,0,0,0,0,0
3/25/2016,0,0,0,0,0,0,0,0,0,0,0
3/28/2016,0,0,0,0,0,0,0,0,0,0,0
3/29/2016,0,0,0,0,0,0,0,0,0,0,0
3/30/2016,0,0,0,0,0,0,0,0,0,0,0
3/31/2016,0,0,0,0,0,0,0,0,0,0,0
4/1/2016,0,0,0,0,0,0,0,0,0,0,0
4/4/2016,0,0,0,0,0,0,0,0,0,0,0
4/5/2016,0.001785371,0,0,0,-0.002400041,-0.005947576,0,0,-0.005001475,0,0
4/6/2016,0,0,0,0,0,0,0,0,0,0,0
4/7/2016,0,0,0,0,0,0,0,0,0,0,0
4/8/2016,0,0,0,0,0,0,0,0,0,0,-0.007421101
4/11/2016,0,0.016983568,0,0.024896045,0,0,-0.008074329,0.022494172,0,0,0
4/12/2016,0,0,0,0,0,0,0,0,0,0,0
4/13/2016,0,0,0,0,0,0,0,0,0,-0.000257983,0
4/14/2016,0,0,0,0,0,0,0,0,0,0,0
4/15/2016,0,0.020904549,0,0,0,0,0,0,0,0,0
4/18/2016,0,0,0,0,0,0,0,0,0,0,0
4/19/2016,0,0,0,0,0,0,0,0,0,0,0
4/20/2016,0,0,0,0,0,0,0,0,0,0,0
4/21/2016,0,0,0,0,0,0,0,0.00237712,0.000283637,0,0
4/22/2016,0,0,0,0,0,0,0,0,0,0,0
4/25/2016,0,0,0,0,0,0,0,0,0,0,0
4/26/2016,0,0,0,0,0,-0.003526621,0,0,0,0,0
4/27/2016,0,0,0,0,0,0,0,0,0,0,0
4/28/2016,0.002921442,0,0,0,0,0,0,0,0,0,0.002554228
4/29/2016,0,0,0,0,0,0,0,0,0,0,0
5/2/2016,0,0,0,0,0,0,0,0,0,0,0
5/3/2016,0,0,0,0,0,0,0,0,0,0,0
5/4/2016,0,0,0.008922635,0,0,0,0,0,0,0,0
5/5/2016,0,0,0,0,0,0,0,0,0,0,0
5/6/2016,0,0,0,0.02432115,0,0,0,0,0,0,0
5/9/2016,0,-0.006767581,0,0,0,0,0,0,0,0,0
5/10/2016,0,0,0,0,0,0,0,0,0,0,0
5/11/2016,0,0,0,0,0,-0.004720984,0,0,0,0,0.008249566
5/12/2016,0,0,-0.005349168,0,0,0,0,0,0,0,0
5/13/2016,0,0,0,0,0,0,0,0.005958239,0,0,0
5/16/2016,0,-0.003206324,0,0,0,0,0,0,0,0,0
5/17/2016,0,0,0,-0.005362231,0,0,0.010810015,0,0,0,0
5/18/2016,0,0,0,0,0,0,0,0,0,0,0
5/19/2016,0,0,0,0,0,0,0,0,0,0,0
5/20/2016,0,0,0,0,0,0,0,0,0,0,0
5/23/2016,0,0,0,0,0,0,0,0,-0.001136341,0,0
5/24/2016,0,0,0,0,0,0,0,0,0,0,0
5/25/2016,0,0,0,0,0,0,0,0,0,0,0
5/26/2016,0,0,0,0,0,0,0,0,0,0,0
5/27/2016,0,0,0,0,0,0,0,0,0,0,0
5/30/2016,0,0,0,0,0,0,-0.004763089,0,-0.003301672,0,0
5/31/2016,0,0,0,0,0,0,0,0,0,0,0
6/1/2016,0,0,0,0,0,0,0,0,0,-0.000592451,0
6/2/2016,0,0,0,0,0,0,0,0,0,0,0
6/3/2016,0,0,0,0,0,0,0,0,0,0,0
6/6/2016,0,0,0,0,0,0,0,0,0,0,0
6/7/2016,0,0,0,0,0,0,0,0,0,0,0
6/8/2016,0,0,0,0,0,0,0,0,0,0,0
6/9/2016,0,0.00416126,0,0,0,0,0,0,0,0,0.014498874
6/10/2016,0,0,0,0,0,0,0,0,0,0,0
6/13/2016,0,0,0,0,0,0,0,0,0,0,0
6/14/2016,0,0,0,0,0,0,0,0,0,0,0
6/15/2016,0,0.031726006,0,0,0,0,0,0,0,0,0
6/16/2016,0,0,-0.000873982,0,0,0,0,0,0,8.36E-05,-0.007735781
6/17/2016,0,0,0,0,0,0,0,0,0,0,0
6/20/2016,0,0,0,-0.005139854,0,0,0,-0.005476602,0,0,0
6/21/2016,0,0,0,0,0,0,0,0,0,-0.000187091,0
6/22/2016,0,0,0,0,0,0,0,0,0,0,0
6/23/2016,0,0,0,0,0,0,0,0,0,0,0
6/24/2016,0,0,0,0,0,0,0,0,0,0,0
6/27/2016,0,0,0,0,0,0,0,0,0,0,0
6/28/2016,0,0,0,0,0,0,0,0,0,0,0
6/29/2016,0,-0.009877404,0,0.01355665,0,0,0,0,0,0,-0.014926135
6/30/2016,-0.000915886,0,0,0,0,-0.001818689,-0.005997262,0,0,0,0
7/1/2016,0,0,0,0,0,0,0,0,0,0,0
7/4/2016,0,0,0,0,0,0,0,0,0,0,0.019937664
7/5/2016,0,-0.005426414,-0.004851266,0,0,0,-0.00347997,0,5.99E-05,0,0
7/6/2016,0,0,0,0,0,0,0,0,0,0,0
7/7/2016,0,0,0,0,0,0,0,0,0,0,0
7/8/2016,0,0,0,0,0,0,0,0,0,0,0
7/11/2016,0,0,0,0,0,0,0,0,0,0,0
7/12/2016,0,0,0,0,0,0,0,0,0,0,0
7/13/2016,0,0,0,0,0,0,0,0,0,0,0
7/14/2016,0,0,0,0,0,0,0,0,0,0,0
7/15/2016,0,0,0,0,0,0,0,0,0,0,0
7/18/2016,0,0,0,0,0,0,0,0,0,0,0
7/19/2016,0,-0.0021945,0,0,0,0,-0.008420523,0,0,0,0.004641279
7/20/2016,0,0,0.005152143,0,0,0,0,0,0,0,0
7/21/2016,0,0,0,0,0,0,0,0,0,-0.000139412,0
7/22/2016,0,0,0,0,0,-0.001286009,0,0,0,0,0
7/25/2016,-0.005173391,0,0,0,0,0,-0.007549269,0,-0.004194175,0,0
7/26/2016,0,0.00349847,0,0.014009118,0,0,0,0,0,0,0
7/27/2016,0,0,0,0,0,0,0,0,0,6.68E-05,0
7/28/2016,0,0,0,0,0.01112731,0,0,0,0.010456868,0,0
7/29/2016,0,0,0.022385417,0,0,0,0,0,0,0,0
8/1/2016,0,0,0,0,0,0,0,0,0,0,0
8/2/2016,0,0,0,0,0,0,0,0,0,0,0
8/3/2016,0,0,0,0,0,0,0,0,0,0,0
8/4/2016,0,0,0,0.010418207,0,0,0,0,0,0,0
8/5/2016,0,0,0,0,0,0,0,0,0,0,0
8/8/2016,0,0,0,0,0,0,0,0,0,0,0
8/9/2016,0,0,0,0,0,0,0,0,0,0,-0.00012179
8/10/2016,0,0,0,0,0,0,0,0,0,0,0
8/11/2016,0,0,0,0,0,0,0,0,0,0,0
8/12/2016,0,0,0,0,0,0,0,0,0,0,0
8/15/2016,0,0,0,0,0,0,0,0,0,0,0
8/16/2016,0.007741018,0,0,0,0.008285209,0,0,0,0,0,0
8/17/2016,0,0,0,0,0,0,0,0,0,0,0
8/18/2016,-0.003781462,0,0,0,-0.000538596,-0.00476768,0,0,0,0,0
8/19/2016,0,0,0,0,0,0,0,0,0,0,0
8/22/2016,0,0,0,0,0,0,0.013538316,0,0,0,0
8/23/2016,0,0,-0.003895613,0,0,0,0,0,0,0,0
8/24/2016,0,0,0,0,0,0,0,0,0,0,0
8/25/2016,0,0,0,0,0,0,0,0,0,0,0
8/26/2016,0,0,0,0,0,0,0,0,0,-0.000225716,0
8/29/2016,0,0,0,0,0,0,0,0,0,0,0
8/30/2016,0,0,0,0,0,0,0,0,0,0,0
8/31/2016,0,0,0,0,0,0,0,0,0,0,0.016470031
9/1/2016,0,0,0,0,0,0,0,0.019569492,0,0,0
9/2/2016,0,0,0,0,0,0,0,0,0,0,0
9/5/2016,0,0,0,0,0,0,0,0,0,0,0
9/6/2016,0,0,0,-0.005872523,0,0,0,0,0,0,0
9/7/2016,0,0,0,0,0,0,0,0,0,0,0
9/8/2016,0,0,0,0,0,0,0,0,0,0,0
9/9/2016,0,0,0,0,0,0,0,0,0,0,0
9/12/2016,0,0,0,0,0,0,0,0,0,0,0
9/13/2016,-0.003881641,0,0,0,0,0,0,0,0,0,0
9/14/2016,0,0,0,0,0,0,0,0,0,0,0
9/15/2016,0,0,0,0,0,0,0,0,0,0,0
9/16/2016,0,0,0,0,0,0,0,0,0,0,0
9/19/2016,0,0,0,0,0,0,0,0,0,0,0
9/20/2016,0,0,0,0,0,0,0,0,0,0,0
9/21/2016,0,0,0,0.016492817,0,0,0,0,0,0,0
9/22/2016,0,0.00543514,0,0,0,0,0,0,0,0,0
9/23/2016,0,0,0,0,0,0,0,0,0,0,0
9/26/2016,0,0,0,0,-0.001946138,0,0,0,0,0,0
9/27/2016,0,0,0,0,0,0,0,0,0,0,0
9/28/2016,0,0,0,0,0,0,0,0,0.004799495,0,0
9/29/2016,0,0,0,0,0,0,0.029086361,0,0,0,0
9/30/2016,0,0,0,0,0,0,0,0,0,0,0
10/3/2016,0,0,0,0,0,0,0,0,0,0,0
10/4/2016,0.014109918,0,0,0,0,0,0,0,0.007820205,0,0
10/5/2016,0,0,0,0,0,0,0,0,0,-7.10E-05,0
10/6/2016,0,0,0,0,0,0,0,0,0,0,0
10/7/2016,0,0,0,0,0,0,0,0,0,0,0
10/10/2016,0,0,0,0,0,0,0,0,0,0,0
10/11/2016,0,-0.006792708,0,0,0,0,0,0,0,-0.00016125,0
10/12/2016,0,0,0,0,0,0,0,0,0,0,0
10/13/2016,0,0,0,-0.005211272,0,0,0,0,0,0,0
10/14/2016,0,0,0,0,0,0,0,0,0,0,0
10/17/2016,0,0,0.007995242,0,0,0,0,0,0,0,0
10/18/2016,0,0,0,0,0,0,-0.002625837,0,0,0,0
10/19/2016,0,0,0,0,0,0,0,0,0,0,0
10/20/2016,0,0,0,0,0,0,0,0,0,0,0
10/21/2016,0,0,0,0,0,0,0,0,0,0,0
10/24/2016,0,0,0,0,0,0,0,0,0,0,0
10/25/2016,0,0.012373438,0.013164915,0.000258658,0,0,0,0,0,0,-0.004251755
10/26/2016,0,0,0,0,0,0,0,0,0,0,0
10/27/2016,0,0,0,0,0,0,0,0,0,0,0
10/28/2016,-0.003738304,0,0,0,0,0,0,0,0,0,0
10/31/2016,0,0,0,0,0,0,0,0,0,0,0
11/1/2016,0,0,0.004252511,0,0,0,0,0,0,0,0
11/2/2016,0,0,0,0,0,0,0,0,0,0,0
11/3/2016,0,0,0,0,0,0,0,0,0,-0.000174204,0
11/4/2016,0,0,0,0,0,0.009080424,0,0,0,0,0
11/7/2016,0,0,0,0,0.029907074,0,0.046808831,0,0,0,0
11/8/2016,0,0,0,0,0,0,0,0,0,0,0
11/9/2016,0,0,0,0,0,0,0,0,0,0,0
11/10/2016,0,0,0,0,0,0,0,0,0,0,0
11/11/2016,0,0,0,0,0,0,0,0,0,0,0
11/14/2016,0,0,0,0,0,0,0,0,0,0,0
11/15/2016,0,-0.006302238,0.014185246,0,0,0,0,0,0,0,0
11/16/2016,0,0,0,0,0,0,0,0,0,0,0
11/17/2016,0,0,0,0,0,0,0,0,0,0,0
11/18/2016,0.007552059,0,0,0,0,0,0,0.000857564,0,0,0
11/21/2016,0,0,0,0,0,0,0,0,0,0,0
11/22/2016,0,0,0,0,0,0,0,0,0,0,0
11/23/2016,0,0,0,0,0,0,0,0,0,0,0
11/24/2016,0,0,0,0,0,0,0,0,0,0,0
11/25/2016,0,0,0,0,0,0,0,0,0,0,0
11/28/2016,0,0,0,0,0,0,0,0,0,-0.000122635,0
11/29/2016,0,0,0,0,0,0,0,0,0,0,0
11/30/2016,0,0,0,0,0,0,0,0,0,0,0
12/1/2016,0,0,0,0,0,0,0,0,0,0,0
12/2/2016,-0.005448143,0,0,0,-0.00485761,0,0,0,0,0,0
12/5/2016,0,0.001239862,0,0,0,0,0,0,0,0,0
12/6/2016,0,0,0,0,0,0,0,0,-0.002388457,0,0
12/7/2016,0,0,0,0,0,0,0.026457393,0,0,0,0
12/8/2016,0,0,0,0,0,0,0,0,0,0,0
12/9/2016,0,0,0,0,0,0,0,0,0,0,0
12/12/2016,0,0,0,0,0,0,0,0,0,0,0
12/13/2016,0,0,0,0,0,0,0,0,0,0,0
12/14/2016,0,0,0,0,0,0,0,0,0,0,0
12/15/2016,0,0,0,0.03476038,0,0,0.019205711,0,0,0,0
12/16/2016,0,0,0,0,0,0,0,0,0,0,0
12/19/2016,0,0,0,0,0,0,0.006029677,0,0,0,0
12/20/2016,0,0,0,0,0,0,0,0,0,0,0
12/21/2016,0,0.011302075,0,0,0,0,0,0,0,0,0
12/22/2016,0,0,0,0,0,0,0,-0.005968215,0,0,0.002995499
12/23/2016,0,0,0,0,0,0,0.0042504,0,0,0,0
12/26/2016,0,0,0,0,-0.000952902,0,0,0,0,0,0
12/27/2016,0,0,0,0,0,0,0,0,0.000621994,5.78E-05,0
12/28/2016,0,0,0,0,0,0,0,0.007945493,0,0,0
12/29/2016,0,0,0,0,0,0,0,0,0,0,0
12/30/2016,0,0,0,0,0,0,0,0,0,0,0
1/2/2017,0,0,0,0,0,0,0,0,0,0,0
1/3/2017,0,0,0,0,0,0,0,0,0,0,0
1/4/2017,0,0,0,0,0,0,0,0,0,0,0
1/5/2017,0.012757382,0,0,0,0,0,0,0,0,0,-0.006188165
